1 (1),London,227 (1),1%,8,7,"£ 1,680",£ 4.9B
2 (2),Birmingham,134 (12),-4%,5,12,£ 994,£ 388.7M
3 (3),Glasgow,99 (16),4%,5,13,£ 736,£ 320.4M
4 (7),Manchester,156 (4),2%,6,10,"£ 1,157",£ 212.7M
5 (5),Bristol,149 (9),0%,8,8,"£ 1,099",£ 212.0M
6 (4),Edinburgh,165 (3),-10%,8,7,"£ 1,219",£ 211.4M
7 (8),Sheffield,149 (8),1%,6,10,"£ 1,101",£ 205.3M
8 (9),Leicester,155 (5),-4%,6,11,"£ 1,145",£ 182.9M
9 (10),Leeds,143 (10),6%,5,12,"£ 1,057",£ 180.6M
10 (6),Liverpool,119 (13),-16%,6,9,£ 878,£ 174.6M
